anbefalt_term:en;anbefalt_term:nn;anbefalt_term:nb;tillatt_term:nb;tillatt_term:nn;tillatt_term:en;frarådet_term:nb;frarådet_term:nn;frarådet_term:en;definisjon:nb;definisjon:nn;definisjon:en;definisjon:forhold_til_kilde;definisjon:kilde;definisjon:kilde.1;definisjon_for_allmennheten:nb;definisjon_for_allmennheten:nn;definisjon_for_allmennheten:en;definisjon_for_allmennheten:forhold_til_kilde;definisjon_for_allmennheten:kilde;definisjon_for_allmennheten:kilde.1;definisjon_for_spesialister:nb;definisjon_for_spesialister:nn;definisjon_for_spesialister:en;definisjon_for_spesialister:forhold_til_kilde;definisjon_for_spesialister:kilde;definisjon_for_spesialister:kilde.1;merknad:nb;merknad:nn;merknad:en;eksempel:nb;eksempel:nn;eksempel:en;fagområde:nb;fagområde:nn;fagområde:en;verdiområde:uri;verdiområde:tekst;kontaktpunkt:epost;kontaktpunkt:telefon;gyldig_fom;gyldig_tom;se_også;versjon
anbefalt term 475_en;anbefalt term 475_nn;anbefalt term 475_nb;tillatt term 475_nb;tillatt term 475_nn;tillatt term 475_en;frarådet term 475_nb;frarådet term 475_nn;frarådet term 475_en;definisjon 475_nb;definisjon 475_nn;definisjon 475_en;egendefinert;;;definisjon for allmennheten 475_nb;definisjon for allmennheten 475_nn;definisjon for allmennheten 475_en;egendefinert;;;definisjon for spesialister 475_nb;definisjon for spesialister 475_nn;definisjon_for_spesialister475_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad475_nb;merknad475_nn;merknad475_en;eksempel475_nb;eksempel475_nn;eksempel475_en;50;50;50;http://lenketilverdiomraade475.no;Tittel verdiområde 475;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 476_en;anbefalt term 476_nn;anbefalt term 476_nb;tillatt term 476_nb;tillatt term 476_nn;tillatt term 476_en;frarådet term 476_nb;frarådet term 476_nn;frarådet term 476_en;definisjon 476_nb;definisjon 476_nn;definisjon 476_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 476_nb;definisjon for allmennheten 476_nn;definisjon for allmennheten 476_en;egendefinert;;;definisjon for spesialister 476_nb;definisjon for spesialister 476_nn;definisjon_for_spesialister476_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad476_nb;merknad476_nn;merknad476_en;eksempel476_nb;eksempel476_nn;eksempel476_en;31;31;31;http://lenketilverdiomraade476.no;Tittel verdiområde 476;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 477_en;anbefalt term 477_nn;anbefalt term 477_nb;tillatt term 477_nb;tillatt term 477_nn;tillatt term 477_en;frarådet term 477_nb;frarådet term 477_nn;frarådet term 477_en;definisjon 477_nb;definisjon 477_nn;definisjon 477_en;egendefinert;;;definisjon for allmennheten 477_nb;definisjon for allmennheten 477_nn;definisjon for allmennheten 477_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 477_nb;definisjon for spesialister 477_nn;definisjon_for_spesialister477_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad477_nb;merknad477_nn;merknad477_en;eksempel477_nb;eksempel477_nn;eksempel477_en;4;4;4;http://lenketilverdiomraade477.no;Tittel verdiområde 477;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 478_en;anbefalt term 478_nn;anbefalt term 478_nb;tillatt term 478_nb;tillatt term 478_nn;tillatt term 478_en;frarådet term 478_nb;frarådet term 478_nn;frarådet term 478_en;definisjon 478_nb;definisjon 478_nn;definisjon 478_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 478_nb;definisjon for allmennheten 478_nn;definisjon for allmennheten 478_en;egendefinert;;;definisjon for spesialister 478_nb;definisjon for spesialister 478_nn;definisjon_for_spesialister478_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad478_nb;merknad478_nn;merknad478_en;eksempel478_nb;eksempel478_nn;eksempel478_en;50;50;50;http://lenketilverdiomraade478.no;Tittel verdiområde 478;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 479_en;anbefalt term 479_nn;anbefalt term 479_nb;tillatt term 479_nb;tillatt term 479_nn;tillatt term 479_en;frarådet term 479_nb;frarådet term 479_nn;frarådet term 479_en;definisjon 479_nb;definisjon 479_nn;definisjon 479_en;egendefinert;;;definisjon for allmennheten 479_nb;definisjon for allmennheten 479_nn;definisjon for allmennheten 479_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 479_nb;definisjon for spesialister 479_nn;definisjon_for_spesialister479_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad479_nb;merknad479_nn;merknad479_en;eksempel479_nb;eksempel479_nn;eksempel479_en;20;20;20;http://lenketilverdiomraade479.no;Tittel verdiområde 479;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 480_en;anbefalt term 480_nn;anbefalt term 480_nb;tillatt term 480_nb;tillatt term 480_nn;tillatt term 480_en;frarådet term 480_nb;frarådet term 480_nn;frarådet term 480_en;definisjon 480_nb;definisjon 480_nn;definisjon 480_en;egendefinert;;;definisjon for allmennheten 480_nb;definisjon for allmennheten 480_nn;definisjon for allmennheten 480_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 480_nb;definisjon for spesialister 480_nn;definisjon_for_spesialister480_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad480_nb;merknad480_nn;merknad480_en;eksempel480_nb;eksempel480_nn;eksempel480_en;41;41;41;http://lenketilverdiomraade480.no;Tittel verdiområde 480;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 481_en;anbefalt term 481_nn;anbefalt term 481_nb;tillatt term 481_nb;tillatt term 481_nn;tillatt term 481_en;frarådet term 481_nb;frarådet term 481_nn;frarådet term 481_en;definisjon 481_nb;definisjon 481_nn;definisjon 481_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 481_nb;definisjon for allmennheten 481_nn;definisjon for allmennheten 481_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 481_nb;definisjon for spesialister 481_nn;definisjon_for_spesialister481_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad481_nb;merknad481_nn;merknad481_en;eksempel481_nb;eksempel481_nn;eksempel481_en;8;8;8;http://lenketilverdiomraade481.no;Tittel verdiområde 481;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 482_en;anbefalt term 482_nn;anbefalt term 482_nb;tillatt term 482_nb;tillatt term 482_nn;tillatt term 482_en;frarådet term 482_nb;frarådet term 482_nn;frarådet term 482_en;definisjon 482_nb;definisjon 482_nn;definisjon 482_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 482_nb;definisjon for allmennheten 482_nn;definisjon for allmennheten 482_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 482_nb;definisjon for spesialister 482_nn;definisjon_for_spesialister482_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad482_nb;merknad482_nn;merknad482_en;eksempel482_nb;eksempel482_nn;eksempel482_en;29;29;29;http://lenketilverdiomraade482.no;Tittel verdiområde 482;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 483_en;anbefalt term 483_nn;anbefalt term 483_nb;tillatt term 483_nb;tillatt term 483_nn;tillatt term 483_en;frarådet term 483_nb;frarådet term 483_nn;frarådet term 483_en;definisjon 483_nb;definisjon 483_nn;definisjon 483_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 483_nb;definisjon for allmennheten 483_nn;definisjon for allmennheten 483_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 483_nb;definisjon for spesialister 483_nn;definisjon_for_spesialister483_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad483_nb;merknad483_nn;merknad483_en;eksempel483_nb;eksempel483_nn;eksempel483_en;10;10;10;http://lenketilverdiomraade483.no;Tittel verdiområde 483;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 484_en;anbefalt term 484_nn;anbefalt term 484_nb;tillatt term 484_nb;tillatt term 484_nn;tillatt term 484_en;frarådet term 484_nb;frarådet term 484_nn;frarådet term 484_en;definisjon 484_nb;definisjon 484_nn;definisjon 484_en;egendefinert;;;definisjon for allmennheten 484_nb;definisjon for allmennheten 484_nn;definisjon for allmennheten 484_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 484_nb;definisjon for spesialister 484_nn;definisjon_for_spesialister484_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad484_nb;merknad484_nn;merknad484_en;eksempel484_nb;eksempel484_nn;eksempel484_en;32;32;32;http://lenketilverdiomraade484.no;Tittel verdiområde 484;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 485_en;anbefalt term 485_nn;anbefalt term 485_nb;tillatt term 485_nb;tillatt term 485_nn;tillatt term 485_en;frarådet term 485_nb;frarådet term 485_nn;frarådet term 485_en;definisjon 485_nb;definisjon 485_nn;definisjon 485_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 485_nb;definisjon for allmennheten 485_nn;definisjon for allmennheten 485_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 485_nb;definisjon for spesialister 485_nn;definisjon_for_spesialister485_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad485_nb;merknad485_nn;merknad485_en;eksempel485_nb;eksempel485_nn;eksempel485_en;38;38;38;http://lenketilverdiomraade485.no;Tittel verdiområde 485;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 486_en;anbefalt term 486_nn;anbefalt term 486_nb;tillatt term 486_nb;tillatt term 486_nn;tillatt term 486_en;frarådet term 486_nb;frarådet term 486_nn;frarådet term 486_en;definisjon 486_nb;definisjon 486_nn;definisjon 486_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 486_nb;definisjon for allmennheten 486_nn;definisjon for allmennheten 486_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 486_nb;definisjon for spesialister 486_nn;definisjon_for_spesialister486_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad486_nb;merknad486_nn;merknad486_en;eksempel486_nb;eksempel486_nn;eksempel486_en;11;11;11;http://lenketilverdiomraade486.no;Tittel verdiområde 486;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 487_en;anbefalt term 487_nn;anbefalt term 487_nb;tillatt term 487_nb;tillatt term 487_nn;tillatt term 487_en;frarådet term 487_nb;frarådet term 487_nn;frarådet term 487_en;definisjon 487_nb;definisjon 487_nn;definisjon 487_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 487_nb;definisjon for allmennheten 487_nn;definisjon for allmennheten 487_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 487_nb;definisjon for spesialister 487_nn;definisjon_for_spesialister487_en;egendefinert;;;merknad487_nb;merknad487_nn;merknad487_en;eksempel487_nb;eksempel487_nn;eksempel487_en;22;22;22;http://lenketilverdiomraade487.no;Tittel verdiområde 487;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 488_en;anbefalt term 488_nn;anbefalt term 488_nb;tillatt term 488_nb;tillatt term 488_nn;tillatt term 488_en;frarådet term 488_nb;frarådet term 488_nn;frarådet term 488_en;definisjon 488_nb;definisjon 488_nn;definisjon 488_en;egendefinert;;;definisjon for allmennheten 488_nb;definisjon for allmennheten 488_nn;definisjon for allmennheten 488_en;egendefinert;;;definisjon for spesialister 488_nb;definisjon for spesialister 488_nn;definisjon_for_spesialister488_en;egendefinert;;;merknad488_nb;merknad488_nn;merknad488_en;eksempel488_nb;eksempel488_nn;eksempel488_en;27;27;27;http://lenketilverdiomraade488.no;Tittel verdiområde 488;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 489_en;anbefalt term 489_nn;anbefalt term 489_nb;tillatt term 489_nb;tillatt term 489_nn;tillatt term 489_en;frarådet term 489_nb;frarådet term 489_nn;frarådet term 489_en;definisjon 489_nb;definisjon 489_nn;definisjon 489_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 489_nb;definisjon for allmennheten 489_nn;definisjon for allmennheten 489_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 489_nb;definisjon for spesialister 489_nn;definisjon_for_spesialister489_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad489_nb;merknad489_nn;merknad489_en;eksempel489_nb;eksempel489_nn;eksempel489_en;5;5;5;http://lenketilverdiomraade489.no;Tittel verdiområde 489;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 490_en;anbefalt term 490_nn;anbefalt term 490_nb;tillatt term 490_nb;tillatt term 490_nn;tillatt term 490_en;frarådet term 490_nb;frarådet term 490_nn;frarådet term 490_en;definisjon 490_nb;definisjon 490_nn;definisjon 490_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 490_nb;definisjon for allmennheten 490_nn;definisjon for allmennheten 490_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 490_nb;definisjon for spesialister 490_nn;definisjon_for_spesialister490_en;egendefinert;;;merknad490_nb;merknad490_nn;merknad490_en;eksempel490_nb;eksempel490_nn;eksempel490_en;36;36;36;http://lenketilverdiomraade490.no;Tittel verdiområde 490;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 491_en;anbefalt term 491_nn;anbefalt term 491_nb;tillatt term 491_nb;tillatt term 491_nn;tillatt term 491_en;frarådet term 491_nb;frarådet term 491_nn;frarådet term 491_en;definisjon 491_nb;definisjon 491_nn;definisjon 491_en;egendefinert;;;definisjon for allmennheten 491_nb;definisjon for allmennheten 491_nn;definisjon for allmennheten 491_en;egendefinert;;;definisjon for spesialister 491_nb;definisjon for spesialister 491_nn;definisjon_for_spesialister491_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad491_nb;merknad491_nn;merknad491_en;eksempel491_nb;eksempel491_nn;eksempel491_en;33;33;33;http://lenketilverdiomraade491.no;Tittel verdiområde 491;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 492_en;anbefalt term 492_nn;anbefalt term 492_nb;tillatt term 492_nb;tillatt term 492_nn;tillatt term 492_en;frarådet term 492_nb;frarådet term 492_nn;frarådet term 492_en;definisjon 492_nb;definisjon 492_nn;definisjon 492_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 492_nb;definisjon for allmennheten 492_nn;definisjon for allmennheten 492_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 492_nb;definisjon for spesialister 492_nn;definisjon_for_spesialister492_en;egendefinert;;;merknad492_nb;merknad492_nn;merknad492_en;eksempel492_nb;eksempel492_nn;eksempel492_en;42;42;42;http://lenketilverdiomraade492.no;Tittel verdiområde 492;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 493_en;anbefalt term 493_nn;anbefalt term 493_nb;tillatt term 493_nb;tillatt term 493_nn;tillatt term 493_en;frarådet term 493_nb;frarådet term 493_nn;frarådet term 493_en;definisjon 493_nb;definisjon 493_nn;definisjon 493_en;egendefinert;;;definisjon for allmennheten 493_nb;definisjon for allmennheten 493_nn;definisjon for allmennheten 493_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 493_nb;definisjon for spesialister 493_nn;definisjon_for_spesialister493_en;egendefinert;;;merknad493_nb;merknad493_nn;merknad493_en;eksempel493_nb;eksempel493_nn;eksempel493_en;14;14;14;http://lenketilverdiomraade493.no;Tittel verdiområde 493;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 494_en;anbefalt term 494_nn;anbefalt term 494_nb;tillatt term 494_nb;tillatt term 494_nn;tillatt term 494_en;frarådet term 494_nb;frarådet term 494_nn;frarådet term 494_en;definisjon 494_nb;definisjon 494_nn;definisjon 494_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 494_nb;definisjon for allmennheten 494_nn;definisjon for allmennheten 494_en;egendefinert;;;definisjon for spesialister 494_nb;definisjon for spesialister 494_nn;definisjon_for_spesialister494_en;egendefinert;;;merknad494_nb;merknad494_nn;merknad494_en;eksempel494_nb;eksempel494_nn;eksempel494_en;23;23;23;http://lenketilverdiomraade494.no;Tittel verdiområde 494;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 495_en;anbefalt term 495_nn;anbefalt term 495_nb;tillatt term 495_nb;tillatt term 495_nn;tillatt term 495_en;frarådet term 495_nb;frarådet term 495_nn;frarådet term 495_en;definisjon 495_nb;definisjon 495_nn;definisjon 495_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 495_nb;definisjon for allmennheten 495_nn;definisjon for allmennheten 495_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 495_nb;definisjon for spesialister 495_nn;definisjon_for_spesialister495_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad495_nb;merknad495_nn;merknad495_en;eksempel495_nb;eksempel495_nn;eksempel495_en;17;17;17;http://lenketilverdiomraade495.no;Tittel verdiområde 495;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 496_en;anbefalt term 496_nn;anbefalt term 496_nb;tillatt term 496_nb;tillatt term 496_nn;tillatt term 496_en;frarådet term 496_nb;frarådet term 496_nn;frarådet term 496_en;definisjon 496_nb;definisjon 496_nn;definisjon 496_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 496_nb;definisjon for allmennheten 496_nn;definisjon for allmennheten 496_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 496_nb;definisjon for spesialister 496_nn;definisjon_for_spesialister496_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad496_nb;merknad496_nn;merknad496_en;eksempel496_nb;eksempel496_nn;eksempel496_en;19;19;19;http://lenketilverdiomraade496.no;Tittel verdiområde 496;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 497_en;anbefalt term 497_nn;anbefalt term 497_nb;tillatt term 497_nb;tillatt term 497_nn;tillatt term 497_en;frarådet term 497_nb;frarådet term 497_nn;frarådet term 497_en;definisjon 497_nb;definisjon 497_nn;definisjon 497_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 497_nb;definisjon for allmennheten 497_nn;definisjon for allmennheten 497_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 497_nb;definisjon for spesialister 497_nn;definisjon_for_spesialister497_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad497_nb;merknad497_nn;merknad497_en;eksempel497_nb;eksempel497_nn;eksempel497_en;40;40;40;http://lenketilverdiomraade497.no;Tittel verdiområde 497;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
