anbefalt_term:en;anbefalt_term:nn;anbefalt_term:nb;tillatt_term:nb;tillatt_term:nn;tillatt_term:en;frarådet_term:nb;frarådet_term:nn;frarådet_term:en;definisjon:nb;definisjon:nn;definisjon:en;definisjon:forhold_til_kilde;definisjon:kilde;definisjon:kilde;definisjon_for_allmennheten:nb;definisjon_for_allmennheten:nn;definisjon_for_allmennheten:en;definisjon_for_allmennheten:forhold_til_kilde;definisjon_for_allmennheten:kilde;definisjon_for_allmennheten:kilde;definisjon_for_spesialister:nb;definisjon_for_spesialister:nn;definisjon_for_spesialister:en;definisjon_for_spesialister:forhold_til_kilde;definisjon_for_spesialister:kilde;definisjon_for_spesialister:kilde;merknad:nb;merknad:nn;merknad:en;eksempel:nb;eksempel:nn;eksempel:en;fagområde:nb;fagområde:nn;fagområde:en;verdiområde:uri;verdiområde:tekst;kontaktpunkt:epost;kontaktpunkt:telefon;gyldig_fom;gyldig_tom;se_også;versjon
anbefalt term 295_en;anbefalt term 295_nn;anbefalt term 295_nb;tillatt term 295_nb;tillatt term 295_nn;tillatt term 295_en;frarådet term 295_nb;frarådet term 295_nn;frarådet term 295_en;definisjon 295_nb;definisjon 295_nn;definisjon 295_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 295_nb;definisjon for allmennheten 295_nn;definisjon for allmennheten 295_en;egendefinert;;;definisjon for spesialister 295_nb;definisjon for spesialister 295_nn;definisjon_for_spesialister295_en;egendefinert;;;merknad295_nb;merknad295_nn;merknad295_en;eksempel295_nb;eksempel295_nn;eksempel295_en;fagområde9_nb;fagområde9_nn;fagområde9_en;http://lenketilverdiomraade295.no;Tittel verdiområde 295;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 296_en;anbefalt term 296_nn;anbefalt term 296_nb;tillatt term 296_nb;tillatt term 296_nn;tillatt term 296_en;frarådet term 296_nb;frarådet term 296_nn;frarådet term 296_en;definisjon 296_nb;definisjon 296_nn;definisjon 296_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 296_nb;definisjon for allmennheten 296_nn;definisjon for allmennheten 296_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 296_nb;definisjon for spesialister 296_nn;definisjon_for_spesialister296_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad296_nb;merknad296_nn;merknad296_en;eksempel296_nb;eksempel296_nn;eksempel296_en;fagområde10_nb;fagområde10_nn;fagområde10_en;http://lenketilverdiomraade296.no;Tittel verdiområde 296;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 297_en;anbefalt term 297_nn;anbefalt term 297_nb;tillatt term 297_nb;tillatt term 297_nn;tillatt term 297_en;frarådet term 297_nb;frarådet term 297_nn;frarådet term 297_en;definisjon 297_nb;definisjon 297_nn;definisjon 297_en;egendefinert;;;definisjon for allmennheten 297_nb;definisjon for allmennheten 297_nn;definisjon for allmennheten 297_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 297_nb;definisjon for spesialister 297_nn;definisjon_for_spesialister297_en;egendefinert;;;merknad297_nb;merknad297_nn;merknad297_en;eksempel297_nb;eksempel297_nn;eksempel297_en;fagområde11_nb;fagområde11_nn;fagområde11_en;http://lenketilverdiomraade297.no;Tittel verdiområde 297;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 298_en;anbefalt term 298_nn;anbefalt term 298_nb;tillatt term 298_nb;tillatt term 298_nn;tillatt term 298_en;frarådet term 298_nb;frarådet term 298_nn;frarådet term 298_en;definisjon 298_nb;definisjon 298_nn;definisjon 298_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 298_nb;definisjon for allmennheten 298_nn;definisjon for allmennheten 298_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 298_nb;definisjon for spesialister 298_nn;definisjon_for_spesialister298_en;egendefinert;;;merknad298_nb;merknad298_nn;merknad298_en;eksempel298_nb;eksempel298_nn;eksempel298_en;fagområde12_nb;fagområde12_nn;fagområde12_en;http://lenketilverdiomraade298.no;Tittel verdiområde 298;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 299_en;anbefalt term 299_nn;anbefalt term 299_nb;tillatt term 299_nb;tillatt term 299_nn;tillatt term 299_en;frarådet term 299_nb;frarådet term 299_nn;frarådet term 299_en;definisjon 299_nb;definisjon 299_nn;definisjon 299_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 299_nb;definisjon for allmennheten 299_nn;definisjon for allmennheten 299_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 299_nb;definisjon for spesialister 299_nn;definisjon_for_spesialister299_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad299_nb;merknad299_nn;merknad299_en;eksempel299_nb;eksempel299_nn;eksempel299_en;fagområde2_nb;fagområde2_nn;fagområde2_en;http://lenketilverdiomraade299.no;Tittel verdiområde 299;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 300_en;anbefalt term 300_nn;anbefalt term 300_nb;tillatt term 300_nb;tillatt term 300_nn;tillatt term 300_en;frarådet term 300_nb;frarådet term 300_nn;frarådet term 300_en;definisjon 300_nb;definisjon 300_nn;definisjon 300_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 300_nb;definisjon for allmennheten 300_nn;definisjon for allmennheten 300_en;egendefinert;;;definisjon for spesialister 300_nb;definisjon for spesialister 300_nn;definisjon_for_spesialister300_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad300_nb;merknad300_nn;merknad300_en;eksempel300_nb;eksempel300_nn;eksempel300_en;fagområde3_nb;fagområde3_nn;fagområde3_en;http://lenketilverdiomraade300.no;Tittel verdiområde 300;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 301_en;anbefalt term 301_nn;anbefalt term 301_nb;tillatt term 301_nb;tillatt term 301_nn;tillatt term 301_en;frarådet term 301_nb;frarådet term 301_nn;frarådet term 301_en;definisjon 301_nb;definisjon 301_nn;definisjon 301_en;egendefinert;;;definisjon for allmennheten 301_nb;definisjon for allmennheten 301_nn;definisjon for allmennheten 301_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 301_nb;definisjon for spesialister 301_nn;definisjon_for_spesialister301_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad301_nb;merknad301_nn;merknad301_en;eksempel301_nb;eksempel301_nn;eksempel301_en;fagområde4_nb;fagområde4_nn;fagområde4_en;http://lenketilverdiomraade301.no;Tittel verdiområde 301;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 302_en;anbefalt term 302_nn;anbefalt term 302_nb;tillatt term 302_nb;tillatt term 302_nn;tillatt term 302_en;frarådet term 302_nb;frarådet term 302_nn;frarådet term 302_en;definisjon 302_nb;definisjon 302_nn;definisjon 302_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 302_nb;definisjon for allmennheten 302_nn;definisjon for allmennheten 302_en;egendefinert;;;definisjon for spesialister 302_nb;definisjon for spesialister 302_nn;definisjon_for_spesialister302_en;egendefinert;;;merknad302_nb;merknad302_nn;merknad302_en;eksempel302_nb;eksempel302_nn;eksempel302_en;fagområde5_nb;fagområde5_nn;fagområde5_en;http://lenketilverdiomraade302.no;Tittel verdiområde 302;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 303_en;anbefalt term 303_nn;anbefalt term 303_nb;tillatt term 303_nb;tillatt term 303_nn;tillatt term 303_en;frarådet term 303_nb;frarådet term 303_nn;frarådet term 303_en;definisjon 303_nb;definisjon 303_nn;definisjon 303_en;egendefinert;;;definisjon for allmennheten 303_nb;definisjon for allmennheten 303_nn;definisjon for allmennheten 303_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 303_nb;definisjon for spesialister 303_nn;definisjon_for_spesialister303_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad303_nb;merknad303_nn;merknad303_en;eksempel303_nb;eksempel303_nn;eksempel303_en;fagområde6_nb;fagområde6_nn;fagområde6_en;http://lenketilverdiomraade303.no;Tittel verdiområde 303;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 304_en;anbefalt term 304_nn;anbefalt term 304_nb;tillatt term 304_nb;tillatt term 304_nn;tillatt term 304_en;frarådet term 304_nb;frarådet term 304_nn;frarådet term 304_en;definisjon 304_nb;definisjon 304_nn;definisjon 304_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 304_nb;definisjon for allmennheten 304_nn;definisjon for allmennheten 304_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 304_nb;definisjon for spesialister 304_nn;definisjon_for_spesialister304_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad304_nb;merknad304_nn;merknad304_en;eksempel304_nb;eksempel304_nn;eksempel304_en;fagområde7_nb;fagområde7_nn;fagområde7_en;http://lenketilverdiomraade304.no;Tittel verdiområde 304;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 305_en;anbefalt term 305_nn;anbefalt term 305_nb;tillatt term 305_nb;tillatt term 305_nn;tillatt term 305_en;frarådet term 305_nb;frarådet term 305_nn;frarådet term 305_en;definisjon 305_nb;definisjon 305_nn;definisjon 305_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 305_nb;definisjon for allmennheten 305_nn;definisjon for allmennheten 305_en;egendefinert;;;definisjon for spesialister 305_nb;definisjon for spesialister 305_nn;definisjon_for_spesialister305_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad305_nb;merknad305_nn;merknad305_en;eksempel305_nb;eksempel305_nn;eksempel305_en;fagområde8_nb;fagområde8_nn;fagområde8_en;http://lenketilverdiomraade305.no;Tittel verdiområde 305;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 306_en;anbefalt term 306_nn;anbefalt term 306_nb;tillatt term 306_nb;tillatt term 306_nn;tillatt term 306_en;frarådet term 306_nb;frarådet term 306_nn;frarådet term 306_en;definisjon 306_nb;definisjon 306_nn;definisjon 306_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 306_nb;definisjon for allmennheten 306_nn;definisjon for allmennheten 306_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 306_nb;definisjon for spesialister 306_nn;definisjon_for_spesialister306_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad306_nb;merknad306_nn;merknad306_en;eksempel306_nb;eksempel306_nn;eksempel306_en;fagområde9_nb;fagområde9_nn;fagområde9_en;http://lenketilverdiomraade306.no;Tittel verdiområde 306;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 307_en;anbefalt term 307_nn;anbefalt term 307_nb;tillatt term 307_nb;tillatt term 307_nn;tillatt term 307_en;frarådet term 307_nb;frarådet term 307_nn;frarådet term 307_en;definisjon 307_nb;definisjon 307_nn;definisjon 307_en;egendefinert;;;definisjon for allmennheten 307_nb;definisjon for allmennheten 307_nn;definisjon for allmennheten 307_en;egendefinert;;;definisjon for spesialister 307_nb;definisjon for spesialister 307_nn;definisjon_for_spesialister307_en;egendefinert;;;merknad307_nb;merknad307_nn;merknad307_en;eksempel307_nb;eksempel307_nn;eksempel307_en;fagområde10_nb;fagområde10_nn;fagområde10_en;http://lenketilverdiomraade307.no;Tittel verdiområde 307;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 308_en;anbefalt term 308_nn;anbefalt term 308_nb;tillatt term 308_nb;tillatt term 308_nn;tillatt term 308_en;frarådet term 308_nb;frarådet term 308_nn;frarådet term 308_en;definisjon 308_nb;definisjon 308_nn;definisjon 308_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 308_nb;definisjon for allmennheten 308_nn;definisjon for allmennheten 308_en;egendefinert;;;definisjon for spesialister 308_nb;definisjon for spesialister 308_nn;definisjon_for_spesialister308_en;egendefinert;;;merknad308_nb;merknad308_nn;merknad308_en;eksempel308_nb;eksempel308_nn;eksempel308_en;fagområde11_nb;fagområde11_nn;fagområde11_en;http://lenketilverdiomraade308.no;Tittel verdiområde 308;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 309_en;anbefalt term 309_nn;anbefalt term 309_nb;tillatt term 309_nb;tillatt term 309_nn;tillatt term 309_en;frarådet term 309_nb;frarådet term 309_nn;frarådet term 309_en;definisjon 309_nb;definisjon 309_nn;definisjon 309_en;egendefinert;;;definisjon for allmennheten 309_nb;definisjon for allmennheten 309_nn;definisjon for allmennheten 309_en;egendefinert;;;definisjon for spesialister 309_nb;definisjon for spesialister 309_nn;definisjon_for_spesialister309_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad309_nb;merknad309_nn;merknad309_en;eksempel309_nb;eksempel309_nn;eksempel309_en;fagområde12_nb;fagområde12_nn;fagområde12_en;http://lenketilverdiomraade309.no;Tittel verdiområde 309;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 310_en;anbefalt term 310_nn;anbefalt term 310_nb;tillatt term 310_nb;tillatt term 310_nn;tillatt term 310_en;frarådet term 310_nb;frarådet term 310_nn;frarådet term 310_en;definisjon 310_nb;definisjon 310_nn;definisjon 310_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 310_nb;definisjon for allmennheten 310_nn;definisjon for allmennheten 310_en;egendefinert;;;definisjon for spesialister 310_nb;definisjon for spesialister 310_nn;definisjon_for_spesialister310_en;egendefinert;;;merknad310_nb;merknad310_nn;merknad310_en;eksempel310_nb;eksempel310_nn;eksempel310_en;fagområde2_nb;fagområde2_nn;fagområde2_en;http://lenketilverdiomraade310.no;Tittel verdiområde 310;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 311_en;anbefalt term 311_nn;anbefalt term 311_nb;tillatt term 311_nb;tillatt term 311_nn;tillatt term 311_en;frarådet term 311_nb;frarådet term 311_nn;frarådet term 311_en;definisjon 311_nb;definisjon 311_nn;definisjon 311_en;basertPaaKilde;Tittel på kilde|http://kildebaserturi.no/;Tittel på kilde nr. 2|http://kildebaserturi2.no/;definisjon for allmennheten 311_nb;definisjon for allmennheten 311_nn;definisjon for allmennheten 311_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 311_nb;definisjon for spesialister 311_nn;definisjon_for_spesialister311_en;basertPaaKilde;Tittel på kilde_spesialister|http://kildebasertspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildebasertspesialisteruri2.no/;merknad311_nb;merknad311_nn;merknad311_en;eksempel311_nb;eksempel311_nn;eksempel311_en;fagområde3_nb;fagområde3_nn;fagområde3_en;http://lenketilverdiomraade311.no;Tittel verdiområde 311;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 312_en;anbefalt term 312_nn;anbefalt term 312_nb;tillatt term 312_nb;tillatt term 312_nn;tillatt term 312_en;frarådet term 312_nb;frarådet term 312_nn;frarådet term 312_en;definisjon 312_nb;definisjon 312_nn;definisjon 312_en;egendefinert;;;definisjon for allmennheten 312_nb;definisjon for allmennheten 312_nn;definisjon for allmennheten 312_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 312_nb;definisjon for spesialister 312_nn;definisjon_for_spesialister312_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad312_nb;merknad312_nn;merknad312_en;eksempel312_nb;eksempel312_nn;eksempel312_en;fagområde4_nb;fagområde4_nn;fagområde4_en;http://lenketilverdiomraade312.no;Tittel verdiområde 312;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 313_en;anbefalt term 313_nn;anbefalt term 313_nb;tillatt term 313_nb;tillatt term 313_nn;tillatt term 313_en;frarådet term 313_nb;frarådet term 313_nn;frarådet term 313_en;definisjon 313_nb;definisjon 313_nn;definisjon 313_en;egendefinert;;;definisjon for allmennheten 313_nb;definisjon for allmennheten 313_nn;definisjon for allmennheten 313_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 313_nb;definisjon for spesialister 313_nn;definisjon_for_spesialister313_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad313_nb;merknad313_nn;merknad313_en;eksempel313_nb;eksempel313_nn;eksempel313_en;fagområde5_nb;fagområde5_nn;fagområde5_en;http://lenketilverdiomraade313.no;Tittel verdiområde 313;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 314_en;anbefalt term 314_nn;anbefalt term 314_nb;tillatt term 314_nb;tillatt term 314_nn;tillatt term 314_en;frarådet term 314_nb;frarådet term 314_nn;frarådet term 314_en;definisjon 314_nb;definisjon 314_nn;definisjon 314_en;egendefinert;;;definisjon for allmennheten 314_nb;definisjon for allmennheten 314_nn;definisjon for allmennheten 314_en;egendefinert;;;definisjon for spesialister 314_nb;definisjon for spesialister 314_nn;definisjon_for_spesialister314_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad314_nb;merknad314_nn;merknad314_en;eksempel314_nb;eksempel314_nn;eksempel314_en;fagområde6_nb;fagområde6_nn;fagområde6_en;http://lenketilverdiomraade314.no;Tittel verdiområde 314;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 315_en;anbefalt term 315_nn;anbefalt term 315_nb;tillatt term 315_nb;tillatt term 315_nn;tillatt term 315_en;frarådet term 315_nb;frarådet term 315_nn;frarådet term 315_en;definisjon 315_nb;definisjon 315_nn;definisjon 315_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 315_nb;definisjon for allmennheten 315_nn;definisjon for allmennheten 315_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 315_nb;definisjon for spesialister 315_nn;definisjon_for_spesialister315_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad315_nb;merknad315_nn;merknad315_en;eksempel315_nb;eksempel315_nn;eksempel315_en;fagområde7_nb;fagområde7_nn;fagområde7_en;http://lenketilverdiomraade315.no;Tittel verdiområde 315;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 316_en;anbefalt term 316_nn;anbefalt term 316_nb;tillatt term 316_nb;tillatt term 316_nn;tillatt term 316_en;frarådet term 316_nb;frarådet term 316_nn;frarådet term 316_en;definisjon 316_nb;definisjon 316_nn;definisjon 316_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 316_nb;definisjon for allmennheten 316_nn;definisjon for allmennheten 316_en;sitatFraKilde;Tittel på kilde_allmennheten|http://kildesitatallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildesitatallmennhetenuri2.no/;definisjon for spesialister 316_nb;definisjon for spesialister 316_nn;definisjon_for_spesialister316_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad316_nb;merknad316_nn;merknad316_en;eksempel316_nb;eksempel316_nn;eksempel316_en;fagområde8_nb;fagområde8_nn;fagområde8_en;http://lenketilverdiomraade316.no;Tittel verdiområde 316;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
anbefalt term 317_en;anbefalt term 317_nn;anbefalt term 317_nb;tillatt term 317_nb;tillatt term 317_nn;tillatt term 317_en;frarådet term 317_nb;frarådet term 317_nn;frarådet term 317_en;definisjon 317_nb;definisjon 317_nn;definisjon 317_en;sitatFraKilde;Tittel på kilde|http://kildesitaturi.no/;Tittel på kilde nr. 2|http://kildesitaturi2.no/;definisjon for allmennheten 317_nb;definisjon for allmennheten 317_nn;definisjon for allmennheten 317_en;basertPaaKilde;Tittel på kilde_allmennheten|http://kildebasertallmennhetenuri.no/;Tittel på kilde nr. 2_allmennheten|http://kildebasertallmennhetenuri2.no/;definisjon for spesialister 317_nb;definisjon for spesialister 317_nn;definisjon_for_spesialister317_en;sitatFraKilde;Tittel på kilde_spesialister|http://kildesitatspesialisteruri.no/;Tittel på kilde nr. 2_spesialister|http://kildesitatspesialisteruri2.no/;merknad317_nb;merknad317_nn;merknad317_en;eksempel317_nb;eksempel317_nn;eksempel317_en;fagområde9_nb;fagområde9_nn;fagområde9_en;http://lenketilverdiomraade317.no;Tittel verdiområde 317;e-post@epost.no;47474747;12.02.2021;21.06.2024;https://concept-catalog.staging.fellesdatakatalog.digdir.no/collections/910298062/concepts/6c5ae564-bb03-41d0-81d0-38f2be16e8a0;0.1.0
